Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,CLG vs. IMT,Loss (1-2),55.34,27.67,3,19,12,20,939,1,0 / 0 / 0
,,CLG vs. NV,Win (2-0),40.21,20.11,2,9,2,12,521,0,0 / 0 / 0
,,CLG vs. P1,Loss (1-2),36.88,18.44,3,9,4,14,789,1,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),32.62,16.31,3,13,4,17,902,1,0 / 0 / 0
,,CLG vs. TSM,Loss (0-2),52.97,26.49,2,14,8,13,747,1,0 / 0 / 0
Joey,Support,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
Omargod,Jungler,Counter Logic Gaming,,215.24,17.94,14,28,37,118,"1,741",7,0 / 0 / 0
,,CLG vs. FLY,Win (2-0),33.32,33.32,1,5,0,13,182,1,0 / 0 / 0
,,CLG vs. DIG,Loss (0-2),4.54,4.54,1,0,5,4,104,0,0 / 0 / 0
,,CLG vs. IMT,Loss (1-2),48.73,24.37,2,6,8,24,273,1,0 / 0 / 0
,,CLG vs. NV,Win (2-0),34.39,17.2,2,3,2,17,189,1,0 / 0 / 0
,,CLG vs. P1,Loss (1-2),35.9,17.95,3,8,10,18,341,1,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),18.88,9.44,3,3,6,21,354,2,0 / 0 / 0
,,CLG vs. TSM,Loss (0-2),39.48,19.74,2,3,6,21,298,1,0 / 0 / 0
Stixxay,AD Carry,Counter Logic Gaming,,687.09,19.09,46,181,83,289,"14,046",10,6 / 0 / 0
,,CLG vs. C9,Win (2-1),44.21,22.11,3,14,3,20,"1,207",1,0 / 0 / 0
,,CLG vs. TL,Win (2-0),35.32,17.66,2,6,3,13,532,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-1),45.86,22.93,3,10,4,30,948,1,0 / 0 / 0
,,CLG vs. TSM,Loss (1-2),39.21,19.61,3,12,7,20,943,1,0 / 0 / 0
,,CLG vs. FLY,Win (2-1),60.53,30.27,3,24,10,33,"1,149",2,0 / 0 / 0
,,CLG vs. P1,Win (2-1),28.62,14.31,3,12,6,11,989,0,0 / 0 / 0
,,CLG vs. IMT,Loss (0-2),11.23,5.62,2,0,6,6,523,0,0 / 0 / 0
,,CLG vs. NV,Win (2-1),17.73,8.87,3,10,5,12,851,0,1 / 0 / 0
,,CLG vs. C9,Win (2-1),35.44,17.72,3,11,1,13,921,0,1 / 0 / 0
,,CLG vs. TL,Win (2-0),58.94,29.47,2,17,1,9,594,0,3 / 0 / 0
,,CLG vs. FLY,Win (2-0),55.1,27.55,2,13,3,13,710,1,1 / 0 / 0
,,CLG vs. DIG,Loss (0-2),20.46,10.23,2,4,5,6,596,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-0),37.64,18.82,2,5,1,14,514,1,0 / 0 / 0
,,CLG vs. IMT,Loss (1-2),57.13,28.57,3,12,9,29,896,1,0 / 0 / 0
,,CLG vs. NV,Win (2-0),41.2,20.6,2,10,4,12,520,0,0 / 0 / 0
,,CLG vs. P1,Loss (1-2),27.36,13.68,3,7,7,14,642,0,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),32.06,16.03,3,10,3,18,756,1,0 / 0 / 0
,,CLG vs. TSM,Loss (0-2),39.05,19.53,2,4,5,16,755,1,0 / 0 / 0
Tuesday,Mid,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
Zag,AD Carry,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
Akaadian,Jungler,Echo Fox,,332.32,11.46,34,60,86,148,"5,256",3,1 / 0 / 0
,,FOX vs. FLY,Win (2-0),40.41,20.21,2,7,6,15,291,1,1 / 0 / 0
,,FOX vs. TL,Win (2-0),14.49,7.25,2,3,1,4,299,0,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. NV,Win (2-0),30.56,15.28,2,2,1,15,456,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),33.66,16.83,3,4,9,17,531,0,0 / 0 / 0
,,FOX vs. P1,Loss (0-2),18.63,9.32,2,3,6,8,363,0,0 / 0 / 0
,,FOX vs. TSM,Loss (0-2),23.85,11.93,2,5,6,9,335,0,0 / 0 / 0
,,FOX vs. TL,Win (2-1),7.18,3.59,3,1,7,10,454,0,0 / 0 / 0
,,FOX vs. FLY,Loss (1-2),51.9,25.95,3,15,8,15,557,1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),8.55,8.55,1,1,2,4,155,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),2.99,2.99,1,1,4,1,149,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),0.76,0.76,1,0,4,1,126,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),22.92,11.46,3,9,10,9,454,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),29.37,14.69,2,6,7,12,287,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),27.6,13.8,3,3,5,15,304,1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),14.87,7.44,2,0,5,10,237,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),4.58,2.29,2,0,5,3,258,0,0 / 0 / 0
Brandini,Top,Echo Fox,,100.47,8.37,14,20,46,41,"3,160",0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),3.34,3.34,1,1,3,0,284,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),5.67,5.67,1,0,2,3,217,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),15.76,7.88,3,4,14,9,637,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),30.5,15.25,2,5,5,11,650,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),21.4,10.7,3,5,8,9,642,0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),16.91,8.46,2,4,10,7,341,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),6.89,3.45,2,1,4,2,389,0,0 / 0 / 0
Damonte,Mid,Echo Fox,,53.32,13.33,5,15,12,12,"1,576",0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),35.46,17.73,2,11,7,7,646,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),17.86,8.93,3,4,5,5,930,0,0 / 0 / 0
Froggen,Mid,Echo Fox,,489.86,15.31,38,133,86,131,"12,281",2,2 / 0 / 0
,,FOX vs. FLY,Win (2-0),44.46,22.23,2,15,5,7,646,0,0 / 0 / 0
,,FOX vs. TL,Win (2-0),21.59,10.8,2,5,2,4,659,0,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),40.97,20.49,3,13,11,13,868,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),28.3,14.15,2,10,5,3,630,0,0 / 0 / 0
,,FOX vs. NV,Win (2-0),33.07,16.54,2,9,8,7,857,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),50.1,25.05,3,15,7,15,"1,063",0,0 / 0 / 0
,,FOX vs. P1,Loss (0-2),22.46,11.23,2,4,4,6,746,0,0 / 0 / 0
,,FOX vs. TSM,Loss (0-2),23.9,11.95,2,2,4,10,690,0,0 / 0 / 0
,,FOX vs. TL,Win (2-1),16.98,8.49,3,10,2,3,"1,027",0,1 / 0 / 0
,,FOX vs. FLY,Loss (1-2),58.91,29.46,3,11,8,22,"1,016",1,1 / 0 / 0
,,FOX vs. IMT,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),14.72,7.36,2,2,5,5,572,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),30.63,15.32,3,12,6,7,896,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),36.16,18.08,2,7,5,11,816,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),29.86,14.93,3,5,1,12,870,1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),27.44,13.72,2,11,10,4,444,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),10.31,5.16,2,2,3,2,481,0,0 / 0 / 0
Gate,Support,Echo Fox,,364.85,10.13,43,28,112,242,"1,591",8,0 / 0 / 0
,,FOX vs. FLY,Win (2-0),25.79,12.9,2,2,4,14,79,1,0 / 0 / 0
,,FOX vs. TL,Win (2-0),12.24,6.12,2,0,1,8,74,0,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),27.91,13.96,3,0,12,22,151,1,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),17.58,8.79,2,1,8,12,158,0,0 / 0 / 0
,,FOX vs. NV,Win (2-0),37.8,18.9,2,4,3,19,80,1,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),43.1,21.55,3,3,6,25,193,2,0 / 0 / 0
,,FOX vs. P1,Loss (0-2),15.03,7.52,2,2,6,9,53,0,0 / 0 / 0
,,FOX vs. TSM,Loss (0-2),16.4,8.2,2,2,6,10,40,0,0 / 0 / 0
,,FOX vs. TL,Win (2-1),4.5,2.25,3,1,3,7,140,0,0 / 0 / 0
,,FOX vs. FLY,Loss (1-2),40.07,20.04,3,2,7,27,161,1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),27.25,13.63,2,4,7,15,25,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),8.47,4.24,3,1,7,8,67,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),7.74,3.87,2,1,8,6,74,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),14.19,7.1,3,1,14,15,111,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),30.75,15.38,2,0,3,20,25,1,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),26.33,13.17,3,2,5,18,40,1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),8.32,4.16,2,2,5,4,82,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),1.38,0.69,2,0,7,3,38,0,0 / 0 / 0
Grig,Jungler,Echo Fox,,76.09,9.51,9,13,34,40,"1,377",1,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),30.88,15.44,3,7,13,17,456,1,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),20.57,10.29,2,3,11,11,357,0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),7.04,7.04,1,1,5,4,154,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),11.65,5.83,2,1,2,5,315,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),5.95,5.95,1,1,3,3,95,0,0 / 0 / 0
Keith,AD Carry,Echo Fox,,390.62,13.95,32,80,75,124,"10,048",2,1 / 0 / 0
,,FOX vs. FLY,Win (2-0),37.54,18.77,2,6,4,14,654,0,0 / 0 / 0
,,FOX vs. TL,Win (2-0),15.97,7.99,2,1,0,5,647,0,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),41.62,20.81,3,12,11,12,961,1,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),26.98,13.49,2,5,7,9,698,0,0 / 0 / 0
,,FOX vs. NV,Win (2-0),40.19,20.1,2,8,4,12,819,0,0 / 0 / 0
