Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,NIP vs. MSF,Loss (0-2),24.79,12.4,2,3,4,10,579,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),29.49,14.75,2,4,7,11,649,1,0 / 0 / 0
,,NIP vs. ROC,Loss (0-2),31.58,15.79,2,2,4,6,479,0,0 / 0 / 0
,,NIP vs. H2K,Loss (0-2),58.38,29.19,2,6,5,9,619,0,0 / 0 / 0
,,NIP vs. MM,Loss (0-2),20.09,10.05,2,4,3,5,609,0,0 / 0 / 0
,,NIP vs. UOL,Loss (1-2),36.67,18.34,3,9,6,14,875,0,1 / 0 / 0
,,NIP vs. VIT,Loss (1-2),61.2,30.6,3,8,4,6,980,0,1 / 0 / 0
,,NIP vs. SPY,Loss (0-2),18.08,9.04,2,1,8,4,504,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),14.37,7.19,2,3,8,5,487,0,0 / 0 / 0
,,NIP vs. ROC,Win (2-0),53.35,26.68,2,8,5,22,485,1,0 / 0 / 0
,,NIP vs. MSF,Loss (1-2),53.32,26.66,3,7,5,7,806,0,0 / 0 / 0
M1RAGE,Top,Ninjas in Pyjamas,,0,0,0,0,0,0,0,0,0 / 0 / 0
Nagne,Mid,Ninjas in Pyjamas,,407.42,16.98,27,62,82,93,"8,300",1,2 / 0 / 0
,,NIP vs. FNC,Loss (0-2),59.64,29.82,2,5,10,12,682,0,0 / 0 / 0
,,NIP vs. MSF,Loss (0-2),21.59,10.8,2,5,8,6,659,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),28.11,14.06,2,8,4,3,761,0,1 / 0 / 0
,,NIP vs. ROC,Loss (0-2),8.48,4.24,2,0,8,2,524,0,0 / 0 / 0
,,NIP vs. H2K,Loss (0-2),46.4,23.2,2,3,8,10,620,0,0 / 0 / 0
,,NIP vs. MM,Loss (0-2),21.31,10.66,2,3,6,8,631,0,0 / 0 / 0
,,NIP vs. UOL,Loss (1-2),38.59,19.3,3,14,8,8,951,0,1 / 0 / 0
,,NIP vs. VIT,Loss (1-2),43.36,21.68,3,3,5,9,926,0,0 / 0 / 0
,,NIP vs. SPY,Loss (0-2),25.38,12.69,2,2,7,4,619,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),14.42,7.21,2,3,8,5,492,0,0 / 0 / 0
,,NIP vs. ROC,Win (2-0),58.1,29.05,2,12,2,18,610,1,0 / 0 / 0
,,NIP vs. MSF,Loss (1-2),42.04,21.02,3,4,8,8,825,0,0 / 0 / 0
Profit,Top,Ninjas in Pyjamas,,377.06,15.71,27,49,80,96,"8,011",0,0 / 0 / 0
,,NIP vs. FNC,Loss (0-2),45.4,22.7,2,5,7,6,720,0,0 / 0 / 0
,,NIP vs. MSF,Loss (0-2),17.02,8.51,2,3,7,5,702,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),20.39,10.2,2,1,5,9,739,0,0 / 0 / 0
,,NIP vs. ROC,Loss (0-2),26.52,13.26,2,4,7,2,576,0,0 / 0 / 0
,,NIP vs. H2K,Loss (0-2),33.38,16.69,2,3,9,6,619,0,0 / 0 / 0
,,NIP vs. MM,Loss (0-2),22.37,11.19,2,6,8,5,687,0,0 / 0 / 0
,,NIP vs. UOL,Loss (1-2),32.56,16.28,3,6,10,15,943,0,0 / 0 / 0
,,NIP vs. VIT,Loss (1-2),58.5,29.25,3,5,7,12,880,0,0 / 0 / 0
,,NIP vs. SPY,Loss (0-2),25.98,12.99,2,3,6,3,549,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),11.16,5.58,2,1,7,6,366,0,0 / 0 / 0
,,NIP vs. ROC,Win (2-0),43.68,21.84,2,7,2,17,518,0,0 / 0 / 0
,,NIP vs. MSF,Loss (1-2),40.1,20.05,3,5,5,10,712,0,0 / 0 / 0
Shook,Jungler,Ninjas in Pyjamas,,347.23,14.47,27,49,89,114,"3,736",1,1 / 0 / 0
,,NIP vs. FNC,Loss (0-2),41.22,20.61,2,4,10,10,261,0,0 / 0 / 0
,,NIP vs. MSF,Loss (0-2),16.78,8.39,2,3,9,8,328,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),23.85,11.93,2,4,5,10,335,0,0 / 0 / 0
,,NIP vs. ROC,Loss (0-2),18.78,9.39,2,2,6,4,239,0,0 / 0 / 0
,,NIP vs. H2K,Loss (0-2),33.54,16.77,2,5,10,6,277,0,0 / 0 / 0
,,NIP vs. MM,Loss (0-2),19.23,9.62,2,4,5,7,323,0,0 / 0 / 0
,,NIP vs. UOL,Loss (1-2),29.61,14.81,3,9,6,13,416,0,0 / 0 / 0
,,NIP vs. VIT,Loss (1-2),43.5,21.75,3,3,8,12,421,0,0 / 0 / 0
,,NIP vs. SPY,Loss (0-2),12.38,6.19,2,2,10,3,269,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),9.91,4.96,2,1,7,6,241,0,0 / 0 / 0
,,NIP vs. ROC,Win (2-0),54.23,27.12,2,8,5,24,273,1,0 / 0 / 0
,,NIP vs. MSF,Loss (1-2),44.2,22.1,3,4,8,11,353,0,1 / 0 / 0
sprattel,Support,Ninjas in Pyjamas,,296,12.33,27,15,79,148,"1,182",2,0 / 0 / 0
,,NIP vs. FNC,Loss (0-2),26.54,13.27,2,0,8,11,77,0,0 / 0 / 0
,,NIP vs. MSF,Loss (0-2),14.81,7.41,2,2,7,9,81,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),24.48,12.24,2,3,5,13,148,0,0 / 0 / 0
,,NIP vs. ROC,Loss (0-2),23.14,11.57,2,1,4,7,107,0,0 / 0 / 0
,,NIP vs. H2K,Loss (0-2),23.78,11.89,2,1,9,9,89,0,0 / 0 / 0
,,NIP vs. MM,Loss (0-2),17.7,8.85,2,1,7,12,120,0,0 / 0 / 0
,,NIP vs. UOL,Loss (1-2),20.73,10.37,3,0,7,22,123,0,0 / 0 / 0
,,NIP vs. VIT,Loss (1-2),31,15.5,3,2,6,9,135,0,0 / 0 / 0
,,NIP vs. SPY,Loss (0-2),13.56,6.78,2,0,6,6,78,0,0 / 0 / 0
,,NIP vs. G2,Loss (0-2),9.61,4.81,2,1,7,7,61,0,0 / 0 / 0
,,NIP vs. ROC,Win (2-0),52.91,26.46,2,3,6,30,91,2,0 / 0 / 0
,,NIP vs. MSF,Loss (1-2),37.74,18.87,3,1,7,13,72,0,0 / 0 / 0
Zhergoth,Top,Ninjas in Pyjamas,,0,0,0,0,0,0,0,0,0 / 0 / 0
Allorim,Top,Phoenix1,,0.92,0.92,1,0,5,1,192,0,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),0.92,0.92,1,0,5,1,192,0,0 / 0 / 0
Arrow,AD Carry,Phoenix1,,583.59,16.21,46,131,103,250,"13,240",5,1 / 0 / 0
,,P1 vs. IMT,Loss (1-2),37.47,18.74,3,10,6,11,"1,034",0,0 / 0 / 0
,,P1 vs. NV,Loss (1-2),45.16,22.58,3,11,9,16,"1,035",1,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),11.07,5.54,2,1,4,4,507,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),20.62,10.31,2,4,5,7,462,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),37.05,18.53,3,5,10,24,802,1,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),36.99,18.5,3,13,9,21,918,1,0 / 0 / 0
,,P1 vs. FOX,Win (2-0),53.07,26.54,2,10,1,18,657,0,0 / 0 / 0
,,P1 vs. TL,Loss (1-2),44.08,22.04,3,8,8,20,826,0,0 / 0 / 0
,,P1 vs. NV,Win (2-1),46.68,23.34,3,12,3,21,"1,211",0,0 / 0 / 0
,,P1 vs. IMT,Win (2-1),27.23,13.62,3,6,7,16,754,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),27.07,13.54,2,3,4,12,507,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),31.17,15.59,3,7,5,16,561,0,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),37.03,18.52,3,7,7,21,832,1,1 / 0 / 0
,,P1 vs. TL,Loss (0-2),11.31,5.66,2,1,7,5,531,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),37.95,18.98,2,6,5,13,695,1,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),31.51,15.76,3,17,4,11,745,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),32.62,16.31,2,8,7,10,512,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),15.51,7.76,2,2,2,4,651,0,0 / 0 / 0
Meteos,Jungler,Phoenix1,,26.4,8.8,3,5,11,12,390,0,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),8.99,8.99,1,2,2,3,149,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),17.41,8.71,2,3,9,9,241,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
MikeYeung,Jungler,Phoenix1,,441.36,15.76,36,118,98,199,"5,487",4,1 / 0 / 0
,,P1 vs. DIG,Loss (1-2),42.05,21.03,3,11,9,20,435,1,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),45.47,22.74,3,17,8,21,549,1,1 / 0 / 0
,,P1 vs. FOX,Win (2-0),46.08,23.04,2,11,3,14,458,0,0 / 0 / 0
,,P1 vs. TL,Loss (1-2),43.73,21.87,3,14,10,13,492,0,0 / 0 / 0
,,P1 vs. NV,Win (2-1),35.63,17.82,3,14,6,17,629,0,0 / 0 / 0
,,P1 vs. IMT,Win (2-1),32.56,16.28,3,13,6,16,565,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),31.81,15.91,2,5,6,15,231,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),32.9,16.45,3,8,8,16,352,0,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),35.46,17.73,3,8,10,18,351,1,0 / 0 / 0
,,P1 vs. TL,Loss (0-2),2.67,1.34,2,0,9,3,267,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),30.86,15.43,2,4,4,13,336,1,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),22.13,11.07,3,6,7,15,321,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),26.63,13.32,2,6,6,10,263,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),13.38,6.69,2,1,6,8,238,0,0 / 0 / 0
Pirean,Mid,Phoenix1,,284.17,12.92,28,78,62,114,"9,536",2,0 / 0 / 0
,,NV vs. DIG,Loss (1-2),18.7,9.35,3,5,4,9,"1,209",0,0 / 0 / 0
,,NV vs. P1,Win (2-1),40.78,20.39,3,12,3,14,"1,088",0,0 / 0 / 0
,,NV vs. IMT,Win (2-0),46.85,23.43,2,8,2,16,585,1,0 / 0 / 0
,,NV vs. TL,Win (2-1),20.06,10.03,3,9,7,16,"1,111",1,0 / 0 / 0
,,NV vs. FOX,Loss (0-2),22.04,11.02,2,4,6,6,804,0,0 / 0 / 0
,,NV vs. TSM,Loss (0-2),18.76,9.38,2,3,4,6,576,0,0 / 0 / 0
,,NV vs. CLG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,NV vs. P1,Loss (1-2),29.17,14.59,3,7,10,12,"1,312",0,0 / 0 / 0
,,NV vs. DIG,Win (2-1),26.72,13.36,3,13,4,12,987,0,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),38.03,19.02,3,13,9,16,758,0,0 / 0 / 0
,,P1 vs. TL,Loss (0-2),14.83,7.42,2,3,3,3,583,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),5.19,5.19,1,1,3,1,319,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),3.04,3.04,1,0,7,3,204,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Ryu,Mid,Phoenix1,,521.92,16.84,39,135,96,177,"11,764",5,1 / 0 / 1
,,P1 vs. IMT,Loss (1-2),21.42,10.71,3,7,13,7,982,0,0 / 0 / 0
,,P1 vs. NV,Loss (1-2),41.09,20.55,3,13,10,11,977,1,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),12.91,6.46,2,3,4,2,591,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),18.3,9.15,2,4,7,6,480,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),52.35,26.18,3,14,7,17,849,0,0 / 0 / 1
,,P1 vs. CLG,Loss (1-2),40.34,20.17,3,12,9,19,928,1,0 / 0 / 0
,,P1 vs. FOX,Win (2-0),44.73,22.37,2,4,3,20,623,1,0 / 0 / 0
,,P1 vs. TL,Loss (1-2),44.57,22.29,3,12,12,17,923,1,0 / 0 / 0
,,P1 vs. NV,Win (2-1),44.03,22.02,3,12,4,16,"1,169",0,0 / 0 / 0
,,P1 vs. IMT,Win (2-1),24.17,12.09,3,11,5,11,883,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),29.31,14.66,2,6,4,9,581,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),22.07,11.04,3,9,5,7,715,0,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,P1 vs. TL,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),38.32,19.16,2,6,3,13,632,1,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),43.19,21.6,2,11,3,12,469,0,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),28.48,28.48,1,7,3,7,348,0,1 / 0 / 0
,,P1 vs. FLY,Loss (0-2),16.64,8.32,2,4,4,3,614,0,0 / 0 / 0
Selfie,Mid,Phoenix1,,0,0,0,0,0,0,0,0,0 / 0 / 0
Shady,Support,Phoenix1,,126.27,12.63,13,15,27,79,375,2,0 / 0 / 0
,,P1 vs. IMT,Loss (1-2),31.42,15.71,3,5,4,17,62,0,0 / 0 / 0
,,P1 vs. NV,Loss (1-2),35.68,17.84,3,4,10,21,97,1,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),6.01,3.01,2,1,5,4,51,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),17.54,8.77,2,3,2,8,54,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),35.62,17.81,3,2,6,29,111,1,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Wiggily,Jungler,Phoenix1,,0,0,0,0,0,0,0,0,0 / 0 / 0
Xpecial,Support,Phoenix1,,328.29,12.63,33,13,96,257,"1,625",12,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),32.74,16.37,3,2,9,30,198,2,0 / 0 / 0
,,P1 vs. FOX,Win (2-0),38.15,19.08,2,2,5,22,165,1,0 / 0 / 0
,,P1 vs. TL,Loss (1-2),30.91,15.46,3,1,13,26,193,1,0 / 0 / 0
,,P1 vs. NV,Win (2-1),38.16,19.08,3,1,5,30,220,2,0 / 0 / 0
,,P1 vs. IMT,Win (2-1),21.84,10.92,3,2,10,19,114,1,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),23,11.5,2,1,6,14,100,1,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),24.03,12.02,3,0,9,22,97,1,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),34.2,17.1,3,1,12,28,112,1,0 / 0 / 0
,,P1 vs. TL,Loss (0-2),9.01,4.51,2,1,6,6,101,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),17.19,8.6,2,1,5,11,119,0,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),19.19,9.6,3,1,9,22,119,1,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),32.04,16.02,2,0,4,21,54,1,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),7.83,3.92,2,0,3,6,33,0,0 / 0 / 0
Zig,Top,Phoenix1,,446.68,12.41,45,70,134,230,"12,465",7,0 / 0 / 0
,,P1 vs. IMT,Loss (1-2),21.33,10.67,3,1,8,10,917,0,0 / 0 / 0
,,P1 vs. NV,Loss (1-2),38.72,19.36,3,6,8,16,963,1,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),9.21,4.61,2,0,8,5,571,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),14.09,7.05,2,2,7,6,459,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),30.89,15.45,3,7,8,21,755,0,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),28.26,14.13,3,7,11,22,"1,040",1,0 / 0 / 0
,,P1 vs. FOX,Win (2-0),40.16,20.08,2,4,3,16,766,1,0 / 0 / 0
,,P1 vs. TL,Loss (1-2),29,14.5,3,3,12,19,949,0,0 / 0 / 0
,,P1 vs. NV,Win (2-1),24.85,12.43,3,3,9,19,"1,191",0,0 / 0 / 0
,,P1 vs. IMT,Win (2-1),31.14,15.57,3,9,5,13,833,1,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),25.47,12.74,2,6,8,9,397,0,0 / 0 / 0
,,P1 vs. DIG,Loss (1-2),24.1,12.05,3,7,8,14,562,1,0 / 0 / 0
,,P1 vs. C9,Loss (1-2),23.88,11.94,3,4,11,14,604,0,0 / 0 / 0
,,P1 vs. TL,Loss (0-2),10.43,5.22,2,3,9,3,443,0,0 / 0 / 0
,,P1 vs. FOX,Loss (0-2),28.35,14.18,2,5,6,10,635,0,0 / 0 / 0
,,P1 vs. CLG,Win (2-1),30.07,15.04,2,0,1,16,457,1,0 / 0 / 0
,,P1 vs. TSM,Loss (0-2),23.79,11.9,2,0,6,14,379,1,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),12.94,6.47,2,3,6,3,544,0,0 / 0 / 0
Betsy,Mid,ROCCAT,,514.07,23.37,28,80,77,105,"8,668",2,3/1/0000
,,ROC vs. G2,Loss (1-2),58.12,29.06,3,7,9,6,"1,040",0,1 / 0 / 0
,,ROC vs. MSF,Loss (1-2),43.42,21.71,3,2,12,13,730,0,0 / 0 / 0
,,ROC vs. FNC,Win (2-1),31.2,15.6,3,11,9,8,"1,083",0,1 / 0 / 0
,,ROC vs. NIP,Win (2-0),53.74,26.87,2,10,1,14,624,0,1/1/0000
,,ROC vs. SPY,Loss (1-2),60,30,3,12,11,2,908,0,0 / 0 / 0
,,ROC vs. VIT,Loss (0-2),18.48,9.24,2,1,7,3,624,0,0 / 0 / 0
,,ROC vs. H2K,Loss (0-2),5.59,2.8,2,1,7,2,409,0,0 / 0 / 0
,,ROC vs. MM,Loss (1-2),60.46,30.23,3,14,4,18,994,1,0 / 0 / 0
,,ROC vs. UOL,Win (2-1),52.56,26.28,3,8,4,19,881,1,0 / 0 / 0
,,ROC vs. NIP,Loss (0-2),64.52,32.26,2,10,8,7,576,0,0 / 0 / 0
,,ROC vs. FNC,Loss (0-2),65.98,32.99,2,4,5,13,799,0,0 / 0 / 0
EdinPriqtel,"Top, Support",ROCCAT,,0,0,0,0,0,0,0,0,0 / 0 / 0
Hjarnan,AD Carry,ROCCAT,,531.88,24.18,28,80,84,118,"9,194",3,1/1/0000
,,ROC vs. G2,Loss (1-2),71.82,35.91,3,7,9,13,"1,113",0,0 / 0 / 0
,,ROC vs. MSF,Loss (1-2),67.12,33.56,3,9,8,8,843,0,1 / 0 / 0
,,ROC vs. FNC,Win (2-1),30.35,15.18,3,9,8,12,"1,256",0,0 / 0 / 0
,,ROC vs. NIP,Win (2-0),32.76,16.38,2,5,2,12,576,0,0 / 0 / 0
,,ROC vs. SPY,Loss (1-2),68.54,34.27,3,6,12,13,978,0,0 / 0 / 0
,,ROC vs. VIT,Loss (0-2),24.36,12.18,2,3,7,2,668,0,0 / 0 / 0
,,ROC vs. H2K,Loss (0-2),5.62,2.81,2,2,8,1,412,0,0 / 0 / 0
,,ROC vs. MM,Loss (1-2),83.05,41.53,3,19,4,22,"1,087",2,0 / 1 / 0
,,ROC vs. UOL,Win (2-1),47.1,23.55,3,9,7,19,853,1,0 / 0 / 0
,,ROC vs. NIP,Loss (0-2),44.02,22.01,2,2,9,11,601,0,0 / 0 / 0
,,ROC vs. FNC,Loss (0-2),57.14,28.57,2,9,10,5,807,0,0 / 0 / 0
Phaxi,Top,ROCCAT,,456,20.73,28,38,99,131,"7,643",3,0 / 0 / 0
,,ROC vs. G2,Loss (1-2),65.78,32.89,3,6,11,13,970,0,0 / 0 / 0
,,ROC vs. MSF,Loss (1-2),51.06,25.53,3,3,8,13,628,0,0 / 0 / 0
,,ROC vs. FNC,Win (2-1),10.41,5.21,3,4,20,6,999,0,0 / 0 / 0
,,ROC vs. NIP,Win (2-0),29.39,14.7,2,2,4,15,489,0,0 / 0 / 0
,,ROC vs. SPY,Loss (1-2),64.58,32.29,3,3,11,14,857,1,0 / 0 / 0
,,ROC vs. VIT,Loss (0-2),25.64,12.82,2,2,4,3,632,0,0 / 0 / 0
,,ROC vs. H2K,Loss (0-2),6.37,3.19,2,2,6,1,387,0,0 / 0 / 0
,,ROC vs. MM,Loss (1-2),44.89,22.45,3,5,12,22,876,1,0 / 0 / 0
,,ROC vs. UOL,Win (2-1),61.94,30.97,3,5,10,23,708,1,0 / 0 / 0
,,ROC vs. NIP,Loss (0-2),44.1,22.05,2,4,8,9,455,0,0 / 0 / 0
,,ROC vs. FNC,Loss (0-2),51.84,25.92,2,2,5,12,642,0,0 / 0 / 0
Pridestalker,Jungler,ROCCAT,,456.84,20.77,28,62,75,128,"4,437",2,0 / 0 / 0
,,ROC vs. G2,Loss (1-2),54.42,27.21,3,3,8,14,674,0,0 / 0 / 0
,,ROC vs. MSF,Loss (1-2),54,27,3,7,8,11,430,0,0 / 0 / 0
,,ROC vs. FNC,Win (2-1),18.66,9.33,3,4,7,10,521,0,0 / 0 / 0
,,ROC vs. NIP,Win (2-0),38.97,19.49,2,8,2,14,297,0,0 / 0 / 0
,,ROC vs. SPY,Loss (1-2),66.58,33.29,3,6,9,14,481,1,0 / 0 / 0
,,ROC vs. VIT,Loss (0-2),23.36,11.68,2,1,8,7,318,0,0 / 0 / 0
,,ROC vs. H2K,Loss (0-2),4.2,2.1,2,0,4,3,170,0,0 / 0 / 0
,,ROC vs. MM,Loss (1-2),35.49,17.75,3,7,10,17,464,0,0 / 0 / 0
,,ROC vs. UOL,Win (2-1),59.64,29.82,3,18,9,16,406,1,0 / 0 / 0
,,ROC vs. NIP,Loss (0-2),44.78,22.39,2,2,5,12,289,0,0 / 0 / 0
,,ROC vs. FNC,Loss (0-2),56.74,28.37,2,6,5,10,387,0,0 / 0 / 0
Wadid,Support,ROCCAT,,402.41,18.29,28,22,87,174,822,7,0 / 0 / 0
,,ROC vs. G2,Loss (1-2),60.74,30.37,3,1,6,20,56,1,0 / 0 / 0
,,ROC vs. MSF,Loss (1-2),62.04,31.02,3,5,9,15,76,1,0 / 0 / 0
,,ROC vs. FNC,Win (2-1),13.9,6.95,3,1,8,17,128,0,0 / 0 / 0
,,ROC vs. NIP,Win (2-0),24.91,12.46,2,4,0,11,41,0,0 / 0 / 0
,,ROC vs. SPY,Loss (1-2),57.26,28.63,3,3,15,19,74,1,0 / 0 / 0
,,ROC vs. VIT,Loss (0-2),14.76,7.38,2,1,5,5,38,0,0 / 0 / 0
,,ROC vs. H2K,Loss (0-2),2.45,1.23,2,0,8,4,45,0,0 / 0 / 0
,,ROC vs. MM,Loss (1-2),44.95,22.48,3,1,9,31,178,1,0 / 0 / 0
,,ROC vs. UOL,Win (2-1),47.34,23.67,3,1,6,29,83,2,0 / 0 / 0
,,ROC vs. NIP,Loss (0-2),46.76,23.38,2,2,8,14,38,1,0 / 0 / 0
,,ROC vs. FNC,Loss (0-2),27.3,13.65,2,3,13,9,65,0,0 / 0 / 0
XoYnUzi,Jungler,ROCCAT,,0,0,0,0,0,0,0,0,0 / 0 / 0
Annes,Mid,Splyce,,0,0,0,0,0,0,0,0,0 / 0 / 0
Gripex,Jungler,Splyce,,0,0,0,0,0,0,0,0,0 / 0 / 0
Kobbe,AD Carry,Splyce,,599.55,24.98,27,101,51,162,"8,378",5,2 / 0 / 0
,,SPY vs. H2K,Loss (0-2),26.66,13.33,2,3,8,4,533,0,0 / 0 / 0
,,SPY vs. VIT,Win (2-0),44.95,22.48,2,13,4,9,545,0,1 / 0 / 0
,,SPY vs. MM,Win (2-0),49.92,24.96,2,9,2,18,592,0,0 / 0 / 0
,,SPY vs. UOL,Win (2-1),113.74,56.87,3,15,7,28,799,2,0 / 0 / 0
,,SPY vs. ROC,Win (2-1),103.66,51.83,3,18,3,24,"1,002",0,1 / 0 / 0
,,SPY vs. FNC,Loss (0-2),41.32,20.66,2,3,3,5,866,0,0 / 0 / 0
,,SPY vs. G2,Loss (0-2),23.7,11.85,2,0,8,7,535,0,0 / 0 / 0
,,SPY vs. NIP,Win (2-0),53.98,26.99,2,5,1,23,598,2,0 / 0 / 0
,,SPY vs. MSF,Win (2-1),29.24,14.62,3,11,7,24,968,1,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),37.96,18.98,2,4,5,5,598,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),50,25,2,15,0,9,650,0,0 / 0 / 0
,,SPY vs. UOL,Loss (0-2),24.42,12.21,2,5,3,6,692,0,0 / 0 / 0
Mikyx,Support,Splyce,,467.59,19.48,27,20,65,251,"1,133",14,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),17.32,8.66,2,1,9,7,66,0,0 / 0 / 0
,,SPY vs. VIT,Win (2-0),45.86,22.93,2,4,3,23,86,2,0 / 0 / 0
,,SPY vs. MM,Win (2-0),42.67,21.34,2,4,3,21,67,2,0 / 0 / 0
,,SPY vs. UOL,Win (2-1),97.24,48.62,3,1,7,45,128,2,0 / 0 / 0
,,SPY vs. ROC,Win (2-1),85.98,42.99,3,3,5,41,137,2,0 / 0 / 0
,,SPY vs. FNC,Loss (0-2),16.36,8.18,2,0,7,7,118,0,0 / 0 / 0
,,SPY vs. G2,Loss (0-2),20,10,2,1,9,8,50,0,0 / 0 / 0
,,SPY vs. NIP,Win (2-0),47.93,23.97,2,2,0,26,93,2,0 / 0 / 0
,,SPY vs. MSF,Win (2-1),18.79,9.4,3,2,9,32,179,2,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),20.7,10.35,2,0,8,9,85,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),38.95,19.48,2,1,1,22,45,2,0 / 0 / 0
,,SPY vs. UOL,Loss (0-2),15.79,7.9,2,1,4,10,79,0,0 / 0 / 0
Sencux,Mid,Splyce,,581.59,24.23,27,109,51,138,"7,933",4,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),37.18,18.59,2,3,5,6,609,0,0 / 0 / 0
,,SPY vs. VIT,Win (2-0),36.31,18.16,2,7,5,13,531,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),56.39,28.2,2,15,1,13,539,1,0 / 0 / 0
,,SPY vs. UOL,Win (2-1),111.04,55.52,3,17,7,29,752,1,0 / 0 / 0
,,SPY vs. ROC,Win (2-1),81.96,40.98,3,14,5,14,997,0,0 / 0 / 0
,,SPY vs. FNC,Loss (0-2),53.68,26.84,2,7,4,5,734,0,0 / 0 / 0
,,SPY vs. G2,Loss (0-2),45.5,22.75,2,6,6,5,625,0,0 / 0 / 0
